nohup: ignoring input
Setting GPU: 6
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['S10']

======================================================================
MANIFOLD: S10
======================================================================

[S10] Ablation: baseline
[     1] loss=-0.0059 | res=4.31e-08 | grad=5.30e+00 | 9.9s
[     2] loss=-0.0693 | res=4.18e-08 | grad=3.59e+00 | 1.2s
[     3] loss=-0.1465 | res=3.52e-08 | grad=2.39e+00 | 1.2s
[     4] loss=-0.1528 | res=7.16e-08 | grad=1.47e+00 | 1.2s
[     5] loss=-0.2067 | res=8.00e-08 | grad=1.32e+00 | 1.2s
[     6] loss=-0.2090 | res=8.47e-08 | grad=9.99e-01 | 1.2s
[     7] loss=-0.1942 | res=3.64e-05 | grad=7.49e-01 | 1.2s
[     8] loss=-0.1949 | res=1.08e-05 | grad=1.15e+00 | 1.2s
[     9] loss=-0.1692 | res=2.51e-05 | grad=1.62e+00 | 1.2s
[    10] loss=-0.1800 | res=1.42e-07 | grad=1.78e+00 | 1.2s
[    11] loss=-0.1816 | res=5.03e-05 | grad=1.36e+00 | 1.2s
[    12] loss=-0.1619 | res=1.06e-07 | grad=1.52e+00 | 1.2s
[    13] loss=-0.2187 | res=4.83e-07 | grad=9.12e-01 | 1.2s
[    14] loss=-0.1927 | res=9.71e-08 | grad=1.17e+00 | 1.2s
[    15] loss=-0.1927 | res=1.14e-05 | grad=5.61e-01 | 1.2s
[    16] loss=-0.2064 | res=1.20e-05 | grad=7.15e-01 | 1.2s
[    17] loss=-0.1879 | res=3.82e-06 | grad=6.03e-01 | 1.2s
[    18] loss=-0.1742 | res=8.39e-08 | grad=5.89e-01 | 1.2s
[    19] loss=-0.2029 | res=4.78e-08 | grad=8.65e-01 | 1.2s
[    20] loss=-0.1847 | res=6.70e-08 | grad=6.04e-01 | 1.2s
[    21] loss=-0.1907 | res=7.95e-08 | grad=8.15e-01 | 1.2s
[    22] loss=-0.1840 | res=6.39e-08 | grad=6.92e-01 | 1.2s
[    23] loss=-0.1905 | res=6.74e-08 | grad=7.50e-01 | 1.2s
[    24] loss=-0.2023 | res=7.76e-08 | grad=6.57e-01 | 1.2s
[    25] loss=-0.1965 | res=6.14e-08 | grad=8.02e-01 | 1.2s
[    26] loss=-0.2089 | res=8.90e-06 | grad=6.34e-01 | 1.2s
[    27] loss=-0.1949 | res=6.78e-08 | grad=6.51e-01 | 1.2s
[    28] loss=-0.1986 | res=1.26e-07 | grad=8.22e-01 | 1.2s
[    29] loss=-0.2231 | res=5.90e-08 | grad=8.65e-01 | 1.2s
[    30] loss=-0.2296 | res=6.97e-08 | grad=7.43e-01 | 1.2s
[    31] loss=-0.2232 | res=1.17e-05 | grad=6.92e-01 | 1.2s
[    32] loss=-0.2166 | res=2.47e-07 | grad=6.13e-01 | 1.2s
[    33] loss=-0.1990 | res=7.64e-08 | grad=6.46e-01 | 1.2s
[    34] loss=-0.1821 | res=8.80e-08 | grad=8.92e-01 | 1.2s
[    35] loss=-0.2413 | res=6.31e-08 | grad=6.07e-01 | 1.2s
[    36] loss=-0.2009 | res=9.19e-08 | grad=8.41e-01 | 1.2s
[    37] loss=-0.2222 | res=6.87e-08 | grad=8.05e-01 | 1.2s
[    38] loss=-0.1915 | res=4.57e-06 | grad=7.94e-01 | 1.2s
[    39] loss=-0.2308 | res=5.75e-08 | grad=4.21e-01 | 1.2s
[    40] loss=-0.2281 | res=6.55e-08 | grad=3.31e-01 | 1.2s
[    41] loss=-0.2258 | res=1.01e-07 | grad=5.37e-01 | 1.2s
[    42] loss=-0.2020 | res=3.29e-07 | grad=5.76e-01 | 1.2s
[    43] loss=-0.2121 | res=5.11e-08 | grad=4.55e-01 | 1.2s
[    44] loss=-0.2172 | res=7.05e-08 | grad=6.16e-01 | 1.2s
