nohup: ignoring input
Setting GPU: 3
Running on: [RocmDevice(id=0)]
Ablations: ['baseline', 'no_logsumexp_init', 'fewer_inner_steps_500', 'more_inner_steps_4000', 'inner_lr_5e-2', 'inner_lr_1e-3', 'logsumexp_gamma_1', 'logsumexp_gamma_0.01', 'logsumexp_gamma_0.001', 'no_adam', 'landmarks_fps', 'landmarks_32', 'landmarks_64', 'landmarks_256', 'hidden_32_32', 'hidden_64_64', 'hidden_256_256', 'hidden_128_128_128', 'lr_1e-4', 'batch_512', 'batch_128']
Manifolds: ['T2']

======================================================================
MANIFOLD: T2
======================================================================

[T2] Ablation: baseline
[     1] loss=-0.0340 | res=2.78e-03 | grad=6.29e+00 | 10.4s
[     2] loss=-0.1719 | res=3.05e-03 | grad=6.24e+00 | 1.0s
[     3] loss=-0.2972 | res=4.25e-03 | grad=6.33e+00 | 1.0s
[     4] loss=-0.4443 | res=4.12e-03 | grad=6.74e+00 | 1.0s
[     5] loss=-0.5846 | res=3.75e-03 | grad=7.07e+00 | 1.0s
[     6] loss=-0.7456 | res=5.42e-03 | grad=7.39e+00 | 1.0s
[     7] loss=-0.9261 | res=6.40e-03 | grad=7.83e+00 | 1.0s
[     8] loss=-1.0040 | res=6.30e-03 | grad=7.04e+00 | 1.0s
[     9] loss=-1.2160 | res=9.26e-03 | grad=7.59e+00 | 1.0s
[    10] loss=-1.3193 | res=5.60e-03 | grad=6.71e+00 | 1.0s
[    11] loss=-1.5772 | res=6.10e-03 | grad=6.64e+00 | 1.0s
[    12] loss=-1.5549 | res=6.06e-03 | grad=5.27e+00 | 1.0s
[    13] loss=-1.6732 | res=4.49e-03 | grad=4.76e+00 | 1.0s
[    14] loss=-1.7339 | res=5.14e-03 | grad=4.31e+00 | 1.1s
[    15] loss=-1.7367 | res=5.30e-03 | grad=3.78e+00 | 1.0s
[    16] loss=-1.9146 | res=4.87e-03 | grad=3.46e+00 | 1.0s
[    17] loss=-1.8701 | res=6.03e-03 | grad=3.01e+00 | 1.0s
[    18] loss=-1.9002 | res=6.78e-03 | grad=2.48e+00 | 1.0s
[    19] loss=-2.1285 | res=5.06e-03 | grad=2.28e+00 | 1.1s
[    20] loss=-2.1586 | res=7.86e-03 | grad=2.02e+00 | 1.1s
[    21] loss=-2.2571 | res=8.56e-03 | grad=1.72e+00 | 1.1s
[    22] loss=-2.2639 | res=9.76e-03 | grad=1.13e+00 | 1.1s
[    23] loss=-2.2474 | res=1.16e-02 | grad=8.58e-01 | 1.0s
[    24] loss=-2.3554 | res=9.67e-03 | grad=7.51e-01 | 1.0s
[    25] loss=-2.2696 | res=1.30e-02 | grad=3.68e-01 | 1.1s
[    26] loss=-2.1775 | res=1.58e-02 | grad=4.63e-01 | 1.1s
[    27] loss=-2.2593 | res=1.54e-02 | grad=6.99e-01 | 1.1s
[    28] loss=-2.2846 | res=1.57e-02 | grad=7.06e-01 | 1.1s
[    29] loss=-2.0812 | res=1.67e-02 | grad=8.61e-01 | 1.0s
[    30] loss=-2.0762 | res=1.50e-02 | grad=1.28e+00 | 1.0s
[    31] loss=-2.2664 | res=1.84e-02 | grad=9.02e-01 | 1.0s
[    32] loss=-2.3912 | res=1.93e-02 | grad=9.79e-01 | 1.0s
[    33] loss=-2.2040 | res=2.36e-02 | grad=9.78e-01 | 1.1s
[    34] loss=-2.4785 | res=2.41e-02 | grad=1.02e+00 | 1.1s
[    35] loss=-2.1880 | res=2.17e-02 | grad=1.09e+00 | 1.0s
[    36] loss=-1.9739 | res=2.35e-02 | grad=1.26e+00 | 1.0s
[    37] loss=-2.3475 | res=2.89e-02 | grad=5.30e-01 | 1.0s
[    38] loss=-2.2384 | res=2.53e-02 | grad=9.90e-01 | 1.1s
[    39] loss=-2.4373 | res=3.22e-02 | grad=1.09e+00 | 1.1s
[    40] loss=-2.2548 | res=2.12e-02 | grad=8.12e-01 | 1.0s
[    41] loss=-2.2563 | res=2.32e-02 | grad=1.23e+00 | 1.0s
[    42] loss=-2.2476 | res=2.78e-02 | grad=8.33e-01 | 1.0s
[    43] loss=-2.2749 | res=2.18e-02 | grad=1.10e+00 | 1.0s
