nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: sphere
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON SPHERE
======================================================================

[Ours] Training on S2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[     1] loss=-0.0854 | res=2.01e-04 | grad=6.99e+00 | 9.6s
[     2] loss=-0.2283 | res=2.34e-04 | grad=6.06e+00 | 1.1s
[     3] loss=-0.3280 | res=3.03e-09 | grad=4.87e+00 | 1.1s
[     4] loss=-0.4633 | res=1.58e-04 | grad=5.05e+00 | 1.1s
[     5] loss=-0.5356 | res=1.91e-04 | grad=4.24e+00 | 1.1s
[     6] loss=-0.6359 | res=7.47e-05 | grad=3.67e+00 | 1.2s
[     7] loss=-0.7429 | res=6.18e-04 | grad=3.40e+00 | 1.1s
[     8] loss=-0.7098 | res=1.52e-04 | grad=1.54e+00 | 1.1s
[     9] loss=-0.7684 | res=8.53e-09 | grad=1.12e+00 | 1.1s
[    10] loss=-0.7491 | res=6.74e-09 | grad=4.61e-01 | 1.1s
[    11] loss=-0.8744 | res=7.87e-09 | grad=4.32e-01 | 1.1s
[    12] loss=-0.7402 | res=6.65e-09 | grad=6.88e-01 | 1.0s
[    13] loss=-0.8391 | res=1.01e-04 | grad=8.90e-01 | 1.0s
[    14] loss=-0.8267 | res=1.60e-08 | grad=1.21e+00 | 1.1s
[    15] loss=-0.8372 | res=1.53e-04 | grad=1.21e+00 | 1.0s
[    16] loss=-0.8796 | res=9.07e-09 | grad=9.62e-01 | 1.1s
[    17] loss=-0.7718 | res=1.05e-08 | grad=1.06e+00 | 1.1s
[    18] loss=-0.8300 | res=3.43e-09 | grad=1.40e+00 | 1.1s
[    19] loss=-0.8692 | res=3.18e-12 | grad=9.90e-01 | 1.1s
[    20] loss=-0.7842 | res=9.75e-09 | grad=8.73e-01 | 1.0s
[    21] loss=-0.7670 | res=1.12e-08 | grad=1.11e+00 | 1.0s
