nohup: ignoring input
Running on: [RocmDevice(id=0)]
N_RUNS = 5
RCPM_GAMMA = 1.0
LANDMARK_METHOD = random
Manifolds: S2, T2

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1
  use_adam:         True
  adam_beta1:       0.9
  adam_beta2:       0.999

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
MANIFOLD: S2
======================================================================

[Ours] Running 5 independent training runs...

  --- Run 1/5 (seed=12345) ---
[     1] loss=-0.0286 | res=1.15e-04 | grad=5.27e+00 | 9.5s
[     2] loss=-0.1538 | res=4.44e-16 | grad=5.25e+00 | 1.1s
[     3] loss=-0.2617 | res=1.12e-04 | grad=4.94e+00 | 1.1s
[     4] loss=-0.3290 | res=7.07e-05 | grad=4.19e+00 | 1.0s
[     5] loss=-0.4696 | res=2.97e-04 | grad=4.57e+00 | 1.1s
[     6] loss=-0.5301 | res=5.42e-04 | grad=3.97e+00 | 1.1s
[     7] loss=-0.6204 | res=4.52e-10 | grad=3.56e+00 | 1.1s
[     8] loss=-0.7221 | res=2.10e-04 | grad=3.25e+00 | 1.0s
[     9] loss=-0.6977 | res=2.49e-04 | grad=1.74e+00 | 1.0s
[    10] loss=-0.7628 | res=1.90e-04 | grad=1.37e+00 | 1.1s
[    11] loss=-0.7372 | res=1.96e-04 | grad=7.70e-01 | 1.1s
[    12] loss=-0.8707 | res=1.81e-04 | grad=5.89e-01 | 1.1s
[    13] loss=-0.7396 | res=7.24e-04 | grad=5.71e-01 | 1.1s
[    14] loss=-0.8282 | res=1.96e-04 | grad=8.62e-01 | 1.1s
[    15] loss=-0.8340 | res=3.82e-04 | grad=8.81e-01 | 1.1s
