nohup: ignoring input
Running on: [RocmDevice(id=0)]
Running experiments on: torus
Dimensions: [2, 5, 10, 20, 30, 40]
LANDMARK_METHOD = fps (candidates=4096)

======================================================================
DEFAULT CONFIGURATION PARAMETERS (from src/base.py)
======================================================================

[ModelConfig]
  network_type:   mlp
  hidden_dims:    (128, 128)
  n_landmarks:    128
  use_layernorm:  True
  last_scale:     0.01
  activation:     silu
  leaky_slope:    0.01
  softplus_beta:  1
  max_dist:       3.14159

[SolverConfig]
  inner_steps:      2500
  inner_lr:         0.05
  grad_clip:        None
  lr_decay:         False
  tolerance:        1e-06
  min_steps:        1000
  momentum:         0.0
  logsumexp_init:   True
  logsumexp_gamma:  0.1

[TrainingConfig]
  n_steps:        1000
  batch_size:     256
  learning_rate:  0.001
  lr_decay:       False
  lr_decay_alpha: 0.05
  log_every:      1
  eval_every:     None
  eval_size:      1024
  seed:           12345

======================================================================


======================================================================
RUNNING OUR METHOD ON TORUS
======================================================================

[Ours] Training on T2...
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
/home/sjbhatt/anaconda3/envs/rcpms-jax/lib/python3.10/site-packages/jax/_src/ops/scatter.py:92: FutureWarning: scatter inputs have incompatible types: cannot safely cast value from dtype=int64 to dtype=int32 with jax_numpy_dtype_promotion='standard'. In future JAX releases this will result in an error.
  warnings.warn(
[     1] loss=0.0509 | res=1.88e-03 | grad=8.19e+00 | 10.4s
[     2] loss=-0.1121 | res=2.04e-03 | grad=7.98e+00 | 1.0s
[     3] loss=-0.2777 | res=2.13e-03 | grad=8.06e+00 | 1.1s
[     4] loss=-0.4334 | res=4.81e-03 | grad=8.06e+00 | 1.1s
[     5] loss=-0.5870 | res=4.84e-03 | grad=8.06e+00 | 1.1s
[     6] loss=-0.7321 | res=5.02e-03 | grad=8.32e+00 | 1.1s
[     7] loss=-0.9008 | res=6.47e-03 | grad=8.60e+00 | 1.1s
[     8] loss=-1.0767 | res=6.18e-03 | grad=8.68e+00 | 1.1s
[     9] loss=-1.2221 | res=5.53e-03 | grad=8.32e+00 | 1.1s
[    10] loss=-1.4897 | res=7.39e-03 | grad=8.33e+00 | 1.1s
[    11] loss=-1.4888 | res=6.55e-03 | grad=6.80e+00 | 1.1s
[    12] loss=-1.6583 | res=7.64e-03 | grad=5.85e+00 | 1.0s
[    13] loss=-1.7536 | res=7.48e-03 | grad=4.93e+00 | 1.1s
[    14] loss=-1.7896 | res=5.28e-03 | grad=4.19e+00 | 1.0s
[    15] loss=-1.9159 | res=5.53e-03 | grad=3.71e+00 | 1.1s
[    16] loss=-1.9097 | res=4.73e-03 | grad=3.06e+00 | 1.0s
[    17] loss=-1.9377 | res=3.91e-03 | grad=2.52e+00 | 1.0s
[    18] loss=-2.1523 | res=6.39e-03 | grad=2.17e+00 | 1.0s
[    19] loss=-2.1969 | res=6.70e-03 | grad=1.82e+00 | 1.1s
[    20] loss=-2.2752 | res=5.81e-03 | grad=1.58e+00 | 1.0s
[    21] loss=-2.2762 | res=7.09e-03 | grad=9.10e-01 | 1.1s
[    22] loss=-2.2614 | res=6.17e-03 | grad=6.64e-01 | 1.0s
[    23] loss=-2.3550 | res=7.48e-03 | grad=6.29e-01 | 1.1s
[    24] loss=-2.2656 | res=5.57e-03 | grad=3.70e-01 | 1.0s
[    25] loss=-2.1706 | res=3.64e-03 | grad=7.38e-01 | 1.1s
[    26] loss=-2.2523 | res=7.24e-03 | grad=8.96e-01 | 1.1s
[    27] loss=-2.2687 | res=5.51e-03 | grad=1.04e+00 | 1.1s
[    28] loss=-2.0595 | res=8.68e-03 | grad=1.25e+00 | 1.1s
[    29] loss=-2.0567 | res=9.98e-03 | grad=1.53e+00 | 1.0s
[    30] loss=-2.2502 | res=5.64e-03 | grad=1.21e+00 | 1.0s
[    31] loss=-2.3740 | res=5.18e-03 | grad=1.37e+00 | 1.1s
[    32] loss=-2.1906 | res=7.27e-03 | grad=1.23e+00 | 1.1s
[    33] loss=-2.4706 | res=1.20e-02 | grad=1.04e+00 | 1.1s
[    34] loss=-2.1729 | res=6.79e-03 | grad=1.31e+00 | 1.1s
[    35] loss=-1.9541 | res=1.10e-02 | grad=1.53e+00 | 1.1s
[    36] loss=-2.3394 | res=1.12e-02 | grad=6.12e-01 | 1.1s
[    37] loss=-2.2185 | res=9.38e-03 | grad=1.23e+00 | 1.0s
[    38] loss=-2.4183 | res=1.05e-02 | grad=1.21e+00 | 1.1s
[    39] loss=-2.2475 | res=9.75e-03 | grad=7.62e-01 | 1.1s
[    40] loss=-2.2734 | res=5.79e-03 | grad=5.06e-01 | 1.1s
[    41] loss=-2.2560 | res=7.42e-03 | grad=3.75e-01 | 1.1s
[    42] loss=-2.2824 | res=7.06e-03 | grad=6.57e-01 | 1.1s
[    43] loss=-2.2293 | res=7.31e-03 | grad=6.54e-01 | 1.1s
[    44] loss=-2.1307 | res=6.34e-03 | grad=6.53e-01 | 1.1s
[    45] loss=-2.4126 | res=7.31e-03 | grad=7.68e-01 | 1.0s
[    46] loss=-2.2525 | res=1.24e-02 | grad=9.95e-01 | 1.1s
[    47] loss=-2.2758 | res=8.85e-03 | grad=1.04e+00 | 1.1s
[    48] loss=-2.2755 | res=5.52e-03 | grad=8.53e-01 | 1.1s
[    49] loss=-2.2232 | res=8.22e-03 | grad=6.03e-01 | 1.1s
[    50] loss=-2.2945 | res=8.08e-03 | grad=7.37e-01 | 1.1s
[    51] loss=-2.3019 | res=9.13e-03 | grad=8.52e-01 | 1.0s
[    52] loss=-2.2995 | res=9.80e-03 | grad=9.16e-01 | 1.1s
[    53] loss=-2.3911 | res=8.67e-03 | grad=1.61e+00 | 1.1s
[    54] loss=-2.3906 | res=1.26e-02 | grad=7.65e-01 | 1.1s
[    55] loss=-2.3647 | res=6.20e-03 | grad=6.43e-01 | 1.1s
[    56] loss=-2.1405 | res=8.65e-03 | grad=7.47e-01 | 1.1s
[    57] loss=-2.0885 | res=9.30e-03 | grad=7.65e-01 | 1.1s
[    58] loss=-2.1480 | res=1.18e-02 | grad=6.52e-01 | 1.1s
[    59] loss=-2.2802 | res=9.13e-03 | grad=1.04e+00 | 1.1s
[    60] loss=-2.0802 | res=8.94e-03 | grad=1.03e+00 | 1.1s
